,"Chinese_by夏堇"
"_ClearCoatStrength","清漆强度"
"_ClearCoatSmoothness","清漆光滑度"
"_ClearCoatReflectionStrength","清漆反射强度"
"_ClearCoatSpecularStrength","清漆镜面强度"
"_ClearCoatReflectionTint","清漆反射色调"
"_ClearCoatSpecularTint","清漆镜面色调"
"_ClearCoatMaps","清漆贴图"
"_ClearCoatMapsPan","清漆贴图平移"
"_ClearCoatMapsUV","清漆贴图UV"
"_ClearCoatMaskInvert","反转清漆遮罩"
"_ClearCoatSmoothnessMapInvert","反转清漆光滑度贴图"
"_ClearCoatReflectionMaskInvert","反转清漆反射遮罩"
"_ClearCoatSpecularMaskInvert","反转清漆镜面遮罩"
"_ClearCoatMapsStochastic","清漆贴图随机抽样"
"_ClearCoatFallback","备用立方体贴图"
"_ClearCoatForceFallback","强制回退"
"_ClearCoatLitFallback","点亮备用"
"m_start_clearcoatadvanced","高级清漆选项"
"_CCIgnoreCastedShadows","忽略投射阴影"
"_ClearCoatNormalSelect","像素法线混合"
"_ClearcoatFresnel","菲涅耳反射"
"_ClearCoatGSAAEnabled","<size=13><b>GSAA</b></size>"
"_ClearCoatGSAAVariance","GSAA方差"
"_ClearCoatGSAAThreshold","GSAA阈值"
"_ClearCoatTPSDepthMaskEnabled","<size=13><b>TPS深度遮罩</b></size>"
"_ClearCoatTPSMaskStrength","遮罩强度"
"m_start_clearcoatglobalmask","全局遮罩"
"_ClearCoatReflectionStrengthGlobalMask","反射强度"
"_ClearCoatReflectionStrengthGlobalMaskBlendType","全局遮罩混合类型"
"_ClearCoatSpecularStrengthGlobalMask","镜面强度"
"_ClearCoatSpecularStrengthGlobalMaskBlendType","全局遮罩混合类型"
"m_start_reflectionRim","边缘光反射"
"_EnableEnvironmentalRim","环境边缘"
"_RimEnviroMask","遮罩"
"_RimEnviroMaskPan","遮罩平移"
"_RimEnviroMaskUV","遮罩UV"
"_RimEnviroChannel","遮罩通道"
"_RimEnviroBlur","模糊"
"_RimEnviroWidth","边缘宽度"
"_RimEnviroSharpness","边缘清晰度"
"_RimEnviroMinBrightness","最小亮度阈值"
"_RimEnviroIntensity","强度"
"m_start_stylizedSpec","风格化镜面反射"
"_StylizedSpecular","风格化镜面反射"
"_HighColor_Tex","高光贴图"
"_HighColor_TexPan","高光贴图平移"
"_HighColor_TexUV","高光贴图UV"
"_HighColor","高光颜色"
"_Set_HighColorMask","设置高光遮罩"
"_Set_HighColorMaskPan","高光遮罩平移"
"_Set_HighColorMaskUV","高光遮罩UV"
"_Set_HighColorMaskChannel","高光遮罩通道"
"_Tweak_HighColorMaskLevel","调整高光遮罩等级"
"_Is_SpecularToHighColor","镜面反射模式"
"_Is_BlendAddToHiColor","颜色混合模式"
"_StylizedSpecularStrength","风格化镜面反射强度"
"_UseLightColor","使用光色"
"_SSIgnoreCastedShadows","忽略投射阴影"
"_HighColor_Power","高光强度"
"_StylizedSpecularFeather","羽化"
"_Layer1Strength","图层1强度"
"_Layer2Size","图层2尺寸"
"_StylizedSpecular2Feather","图层2羽化"
"_Layer2Strength","图层2强度"
"m_start_backlight","背光"
"_BacklightEnabled","背光"
"_BacklightColor","背光颜色"
"_BacklightColorTex","背光纹理"
"_BacklightColorTexPan","背光纹理平移"
"_BacklightColorTexUV","背光纹理UV"
"_BacklightMainStrength","背光主强度"
"_BacklightNormalStrength","背光法线强度"
"_BacklightBorder","背光边界"
"_BacklightBlur","背光模糊"
"_BacklightDirectivity","背光方向性"
"_BacklightViewStrength","背光视角强度"
"_BacklightReceiveShadow","接收阴影"
"_BacklightBackfaceMask","背光背面遮罩"
"m_end_backlight","背光结束"
"m_OutlineCategory","轮廓"
"_EnableOutlines","轮廓"
"_OutlineExpansionMode","轮廓扩展模式"
"_OutlineSpace","轮廓空间"
"_LineWidth","轮廓宽度"
"_OutlineMask","轮廓遮罩"
"_LineColor","轮廓颜色"
"_OutlineTexture","轮廓纹理"
"_OutlineTexturePan","轮廓纹理平移"
"_OutlineTextureUV","轮廓纹理UV"
"_OutlineMaskPan","轮廓遮罩平移"
"_OutlineMaskUV","轮廓遮罩UV"
"_OutlineMaskChannel","轮廓遮罩通道"
"_OutlineTintMix","主纹理混合"
"_PoiUTSStyleOutlineBlend","UTS2风格混合"
"_OutlineRimLightBlend","轮廓边缘光混合"
"_OutlinePersonaDirection","轮廓方向偏移"
"_OutlineDropShadowOffset","轮廓阴影偏移"
"_OutlineEmission","轮廓发光"
"_OutlineLit","<size=13><b>照明</b></size>"
"_OutlineShadowStrength","阴影强度"
"_OutlineFixedSize","<size=13><b>固定大小</b></size>"
"_OutlinesMaxDistance","固定尺寸最大距离"
"_OutlineHueShift","<size=13><b>色相偏移</b></size>"
"_OutlineHueOffset","色相偏移"
"_OutlineHueOffsetSpeed","色相偏移速度"
"_OutlineAlphaDistanceFade","<size=13><b>距离 Alpha 衰减</b></size>"
"_OutlineAlphaDistanceFadeType","距离 Alpha 衰减类型"
"_OutlineAlphaDistanceFadeMinAlpha","最小距离 Alpha"
"_OutlineAlphaDistanceFadeMaxAlpha","最大距离Alpha"
"_OutlineAlphaDistanceFadeMin","最短距离"
"_OutlineAlphaDistanceFadeMax","最大距离"
"m_start_outlineAdvanced","高级轮廓设置"
"_OutlineUseVertexColorNormals","顶点颜色法线"
"_OutlineVertexColorMask","顶点颜色遮罩"
"_OutlineVertexColorMaskStrength","VC遮罩强度"
"_OutlineClipAtZeroWidth","剪辑 0 宽度"
"_OutlineOverrideAlpha","忽略基础Alpha"
"_Offset_Z","相机Z偏移"
"_OutlineCull","剔除 (描画面)"
"_OutlineZTest","Z测试"
"m_end_outlineAdvanced","结束高级设置"
"m_start_OutlineAudioLink","音频链接 ♫"
"_AudioLinkOutlineSizeBand","轮廓大小频带"
"_AudioLinkOutlineSize","轮廓大小调整"
"_AudioLinkOutlineEmissionBand","轮廓发光频带"
"_AudioLinkOutlineEmission","轮廓发光模式"
"m_end_OutlineAudioLink","音频链接结束"
"m_specialFXCategory","特殊效果"
"m_start_udimdiscardOptions","UV瓷砖丢弃"
"_EnableUDIMDiscardOptions","UDIM丢弃选项"
"_UDIMDiscardHelpbox","UV Tile Discard 需要特殊的模型设置。将对象 UV 放置在不同的 UV 块上。"
"_UDIMDiscardUV","丢弃UV"
"_UDIMDiscardMode","丢弃模式"
"_UDIMDiscardRow3_0","v = 3"
"_UDIMDiscardRow2_0","v = 2"
"_UDIMDiscardRow1_0","v = 1"
"_UDIMDiscardRow0_0","v = 0"
"m_end_udimdiscardOptions","UV瓷砖丢弃结束"
"m_start_DepthBulge","深度膨胀"
"_EnableDepthBulge","深度膨胀"
"_DepthBulgeWarning","深度效果不会写入深度，这可能会破坏某些透明效果，例如自定义雾和光线行进。"
"_DepthBulgeMask","膨胀遮罩"
"_DepthBulgeMaskUV","膨胀遮罩UV"
"_DepthBulgeMaskChannel","膨胀遮罩通道"
"_DepthBulgeFadeLength","膨胀渐变长度"
"_DepthBulgeHeight","膨胀高度"
"m_end_DepthBulge","深度膨胀结束"
"m_start_dissolve","溶解"
"_EnableDissolve","溶解"
"_DissolveType","溶解类型"
"_DissolveEdgeWidth","溶解边缘宽度"
"_DissolveEdgeHardness","溶解边缘硬度"
"_DissolveEdgeColor","溶解边缘颜色"
"_DissolveEdgeGradient","溶解边缘渐变"
"_DissolveEdgeEmission","溶解边缘发光"
"_DissolveTextureColor","溶解颜色"
"_DissolveToTexture","溶解到纹理"
"_DissolveToTexturePan","纹理平移"
"_DissolveToTextureUV","纹理UV"
"_DissolveToEmissionStrength","溶解发光强度"
"_DissolveNoiseTexture","溶解噪声纹理"
"_DissolveNoiseTexturePan","噪声纹理平移"
"_DissolveNoiseTextureUV","噪声纹理UV"
"_DissolveInvertNoise","反转噪声"
"_DissolveDetailNoise","消除噪音"
"_DissolveDetailNoisePan","平移"
"_DissolveDetailNoiseUV","UV"
"_DissolveInvertNoise","反转噪声"
"_DissolveDetailNoise","溶解细节噪声"
"_DissolveDetailNoisePan","细节噪声平移"
"_DissolveDetailNoiseUV","细节噪声UV"
"_DissolveInvertDetailNoise","反转细节噪声"
"_DissolveDetailEdgeSmoothing","细节噪声平滑"
"_DissolveDetailStrength","溶解细节强度"
"_DissolveAlpha","溶解Alpha"
"_DissolveMask","溶解遮罩"
"_DissolveMaskPan","遮罩平移"
"_DissolveMaskUV","遮罩UV"
"_DissolveMaskGlobalMask","全局遮罩"
"_DissolveMaskGlobalMaskBlendType","遮罩混合类型"
"_DissolveUseVertexColors","使用顶点颜色.g 遮罩"
"_DissolveMaskInvert","反转遮罩"
"_ContinuousDissolve","连续溶解速度"
"_EnableDissolveAudioLink","<size=13><b>AudioLink</b></size>"
"_AudioLinkDissolveAlphaBand","音频溶解Alpha频带"
"_AudioLinkDissolveAlpha","音频溶解Alpha"
"_AudioLinkDissolveDetailBand","音频溶解细节频带"
"_AudioLinkDissolveDetail","音频溶解细节"
"m_start_SphericalDissolve","球状溶解"
"_SphericalDissolveCenter","中心点"
"_SphericalDissolveRadius","半径"
"_SphericalDissolveInvert","反转球状溶解"
"_SphericalDissolveClamp","限制球状溶解"
"m_end_SphericalDissolve","球状溶解结束"
"m_start_pointToPoint","点对点溶解"
"_DissolveP2PWorldLocal","世界/局部"
"_DissolveP2PEdgeLength","边缘长度"
"_DissolveStartPoint","起始点"
"_DissolveEndPoint","终点"
"_DissolveP2PClamp","限制点对点溶解"
"m_end_pointToPoint","点对点溶解结束"
"m_start_CenterOutDissolve","中心向外溶解"
"_CenterOutDissolveMode","中心向外溶解模式"
"_CenterOutDissolveDirection","自定义方向"
"_CenterOutDissolveInvert","反转中心向外溶解"
"_CenterOutDissolveNormals","使用像素法线"
"_CenterOutDissolvePower","溶解强度"
"m_end_CenterOutDissolve","中心向外溶解结束"
"m_start_dissolveHueShift","溶解色相偏移"
"_DissolveHueShiftEnabled","溶解色相偏移"
"_DissolveHueShiftSpeed","溶解色相偏移速度"
"_DissolveHueShift","溶解色相偏移"
"_DissolveEdgeHueShiftEnabled","溶解边缘色相偏移"
"_DissolveEdgeHueShiftSpeed","溶解边缘色相偏移速度"
"_DissolveEdgeHueShift","溶解边缘色相偏移"
"m_end_dissolveHueShift","溶解色相偏移结束"
"m_start_UVTileDissolve","UV平铺溶解"
"_UVTileDissolveEnabled","UV平铺溶解"
"_UVTileDissolveUV","UV平铺"
"_UVTileDissolveDiscardAtMax","在最大值时丢弃平铺"
"m_start_UVTileDissolveRow3","第 3 行Alpha"
"_UVTileDissolveAlpha_Row3_0","第 3 行第 0 列"
"_UVTileDissolveAlpha_Row3_1","第 3 行第 1 列"
"_UVTileDissolveAlpha_Row3_2","第 3 行第 2 列"
"_UVTileDissolveAlpha_Row3_3","第 3 行第 3 列"
"m_end_UVTileDissolveRow3","第3行"
"m_start_UVTileDissolveRow2","第 2 行Alpha"
"_UVTileDissolveAlpha_Row2_0","第 2 行第 0 列"
"_UVTileDissolveAlpha_Row2_1","第 2 行第 1 列"
"_UVTileDissolveAlpha_Row2_2","第 2 行 第 2 列"
"_UVTileDissolveAlpha_Row2_3","第 2 行第 3 列"
"m_end_UVTileDissolveRow2","第 2 行"
"m_start_UVTileDissolveRow1","第 1 行Alpha"
"_UVTileDissolveAlpha_Row1_0","第 1 行第 0 列"
"_UVTileDissolveAlpha_Row1_1","第 1 行 第 1 列"
"_UVTileDissolveAlpha_Row1_2","第 1 行第 2 列"
"_UVTileDissolveAlpha_Row1_3","第 1 行第 3 列"
"m_end_UVTileDissolveRow1","第 1 行"
"m_start_UVTileDissolveRow0","第 0 行Alpha"
"_UVTileDissolveAlpha_Row0_0","行 0 列 0"
"_UVTileDissolveAlpha_Row0_1","第 0 行第 1 列"
"_UVTileDissolveAlpha_Row0_2","第 0 行第 2 列"
"_UVTileDissolveAlpha_Row0_3","第 0 行第 3 列"
"m_end_UVTileDissolveRow0","第 0 行"
"m_end_UVTileDissolve","UV 瓷砖溶解"
"m_start_BonusSliders","锁定动画滑块"
"_DissolveAlpha0","溶解 Alpha 0"
"_DissolveAlpha1","溶解Alpha 1"
"_DissolveAlpha2","溶解Alpha 2"
"_DissolveAlpha3","溶解Alpha 3"
"_DissolveAlpha4","溶解Alpha 4"
"_DissolveAlpha5","溶解Alpha 5"
"_DissolveAlpha6","溶解Alpha 6"
"_DissolveAlpha7","溶解Alpha 7"
"_DissolveAlpha8","溶解Alpha 8"
"_DissolveAlpha9","溶解Alpha 9"
"m_end_BonusSliders","锁定滑块"
"m_end_dissolve","溶解"
"m_start_flipBook","帧动画设置"
"_EnableFlipbook","帧动画"
"_FlipbookAlphaControlsFinalAlpha","帧动画控制最终Alpha"
"_FlipbookIntensityControlsAlpha","强度控制Alpha"
"_FlipbookColorReplaces","颜色替换帧动画"
"_FlipbookTexArray","纹理数组"
"_FlipbookTexArrayPan","纹理数组平移"
"_FlipbookTexArrayUV","纹理数组UV"
"_FlipbookMask","遮罩"
"_FlipbookMaskPan","遮罩平移"
"_FlipbookMaskUV","遮罩UV"
"_FlipbookMaskChannel","遮罩通道"
"_FlipbookMaskGlobalMask","全局遮罩"
"_FlipbookMaskGlobalMaskBlendType","全局遮罩混合类型"
"_FlipbookColor","颜色和Alpha"
"_FlipbookFPS","帧率 (FPS)"
"_FlipbookFrameOffset","帧偏移"
"_FlipbookScaleOffset","缩放/偏移"
"_FlipbookSideOffset","侧面偏移"
"_FlipbookTiled","平铺"
"_FlipbookEmissionStrength","发光强度"
"_FlipbookRotation","旋转"
"_FlipbookRotationSpeed","旋转速度"
"_FlipbookReplace","替换"
"_FlipbookMultiply","乘"
"_FlipbookAdd","添加"
"_FlipbookManualFrameControl","<size=13><b>手动帧控制</b></size>"
"_FlipbookCurrentFrame","当前帧"
"_FlipbookStartAndEnd","<size=13><b>起始帧和结束帧</b></size>"
"_FlipbookStartFrame","起始帧"
"_FlipbookEndFrame","结束帧"
"_FlipbookCrossfadeEnabled","<size=13><b>交叉淡入淡出</b></size>"
"_FlipbookCrossfadeRange","交叉淡入淡出范围"
"_FlipbookHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_FlipbookHueShiftSpeed","色相偏移速度"
"_FlipbookHueShift","色相偏移"
"m_start_FlipbookAudioLink","音频链接 ♫"
"_AudioLinkFlipbookScaleBand","音频比例频带"
"_AudioLinkFlipbookScale","音频比例"
"_AudioLinkFlipbookAlphaBand","音频Alpha频带"
"_AudioLinkFlipbookAlpha","音频Alpha"
"_AudioLinkFlipbookEmissionBand","音频发光频带"
"_AudioLinkFlipbookEmission","音频发光"
"_AudioLinkFlipbookFrameBand","音频帧频带"
"_AudioLinkFlipbookFrame","音频帧控制"
"_FlipbookChronotensityEnabled","时间强度"
"_FlipbookChronotensityBand","时间频带"
"_FlipbookChronoType","时间类型"
"_FlipbookChronotensitySpeed","时间速度"
"m_end_FlipbookAudioLink","音频链接结束"
"m_end_flipBook","帧动画设置结束"
"m_start_emissionOptions","自发光选项"
"_EnableEmission","自发光"
"_EmissionReplace0","替换基色"
"_EmissionColor","自发光颜色"
"_EmissionMap","自发光贴图"
"_EmissionMapPan","自发光贴图平移"
"_EmissionMapUV","自发光贴图UV"
"_EmissionBaseColorAsMap","基色作为贴图"
"_EmissionMask","自发光遮罩"
"_EmissionMaskPan","遮罩平移"
"_EmissionMaskUV","遮罩UV"
"_EmissionMaskChannel","遮罩通道"
"_EmissionMaskInvert","反转遮罩"
"_EmissionMask0GlobalMask","全局遮罩"
"_EmissionMask0GlobalMaskBlendType","全局遮罩混合类型"
"_EmissionStrength","自发光强度"
"_EmissionHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_EmissionHueShift","色相偏移"
"_EmissionHueShiftSpeed","色相偏移速度"
"_EmissionCenterOutEnabled","<size=13><b>中心向外发光</b></size>"
"_EmissionCenterOutSpeed","中心向外发光速度"
"_EnableGITDEmission","自发光 1（基于光照）"
"_GITDEWorldOrMesh","光照类型"
"_GITDEMinEmissionMultiplier","最小自发光倍增"
"_GITDEMaxEmissionMultiplier","最大自发光倍增"
"_GITDEMinLight","最小光照"
"_GITDEMaxLight","最大光照"
"_EmissionBlinkingEnabled","<size=13><b>闪烁</b></size>"
"_EmissiveBlink_Min","最小自发光闪烁"
"_EmissiveBlink_Max","最大自发光闪烁"
"_EmissiveBlink_Velocity","自发光闪烁速度"
"_EmissionBlinkingOffset","闪烁偏移"
"_ScrollingEmission","<size=13><b>滚动自发光</b></size>"
"_EmissionScrollingUseCurve","使用曲线"
"_EmissionScrollingCurve","滚动曲线"
"_EmissionScrollingVertexColor","顶点颜色作为位置"
"_EmissiveScroll_Direction","滚动方向"
"_EmissiveScroll_Width","滚动宽度"
"_EmissiveScroll_Velocity","滚动速度"
"_EmissiveScroll_Interval","滚动间隔"
"_EmissionScrollingOffset","滚动偏移"
"_EmissionAL0Enabled","<size=13><b>音频链接</b></size>"
"_EmissionAL0MultipliersBand","自发光倍增频带"
"_EmissionAL0Multipliers","自发光倍增"
"_EmissionAL0StrengthBand","自发光强度频带"
"_EmissionAL0StrengthMod","自发光强度调整"
"_AudioLinkEmission0CenterOutBand","中心向外频带"
"_AudioLinkEmission0CenterOut","中心向外"
"_AudioLinkEmission0CenterOutSize","中心向外强度"
"_AudioLinkEmission0CenterOutDuration","中心向外持续时间"
"m_start_emission1Options","自发光选项1"
"_EnableEmission1","自发光 2"
"_EmissionReplace1","替换基色"
"_EmissionColor1","自发光颜色"
"_EmissionMap1","自发光贴图"
"_EmissionMap1Pan","自发光贴图平移"
"_EmissionMap1UV","自发光贴图UV"
"_EmissionBaseColorAsMap1","基色作为贴图"
"_EmissionMask1","自发光遮罩"
"_EmissionMask1Pan","遮罩平移"
"_EmissionMask1UV","遮罩UV"
"_EmissionMask1Channel","遮罩通道"
"_EmissionMaskInvert1","反转遮罩"
"_EmissionMask1GlobalMask","全局遮罩"
"_EmissionMask1GlobalMaskBlendType","全局遮罩混合类型"
"_EmissionStrength1","自发光强度"
"_EmissionHueShiftEnabled1","<size=13><b>色相偏移</b></size>"
"_EmissionHueShift1","色相偏移"
"_EmissionHueShiftSpeed1","色相偏移速度"
"_EmissionCenterOutEnabled1","<size=13><b>中心向外发光</b></size>"
"_EmissionCenterOutSpeed1","中心向外发光速度"
"_EnableGITDEmission1","<size=13><b>基于光照</b></size>"
"_GITDEWorldOrMesh1","光照类型"
"_GITDEMinEmissionMultiplier1","最小自发光倍增"
"_GITDEMaxEmissionMultiplier1","最大自发光倍增"
"_GITDEMinLight1","最小光照"
"_GITDEMaxLight1","最大光照"
"_EmissionBlinkingEnabled1","<size=13><b>闪烁</b></size>"
"_EmissiveBlink_Min1","最小自发光闪烁"
"_EmissiveBlink_Max1","最大自发光闪烁"
"_EmissiveBlink_Velocity1","自发光闪烁速度"
"_EmissionBlinkingOffset1","闪烁偏移"
"_ScrollingEmission1","<size=13><b>滚动自发光</b></size>"
"_EmissionScrollingUseCurve1","使用曲线"
"_EmissionScrollingCurve1","曲线"
"_EmissionScrollingVertexColor1","顶点颜色作为位置"
"_EmissiveScroll_Direction1","滚动方向"
"_EmissiveScroll_Width1","滚动宽度"
"_EmissiveScroll_Velocity1","滚动速度"
"_EmissiveScroll_Interval1","滚动间隔"
"_EmissionScrollingOffset1","滚动偏移"
"_EmissionAL1Enabled","<size=13><b>音频链接</b></size>"
"_EmissionAL1MultipliersBand","自发光倍增频带"
"_EmissionAL1Multipliers","自发光倍增"
"_EmissionAL1StrengthBand","自发光强度频带"
"_EmissionAL1StrengthMod","自发光强度调整"
"_AudioLinkEmission1CenterOutBand","中心向外频带"
"_AudioLinkEmission1CenterOut","中心向外"
"_AudioLinkEmission1CenterOutSize","中心向外强度"
"_AudioLinkEmission1CenterOutDuration","中心向外持续时间"
"m_start_emission2Options","自发光选项2"
"_EnableEmission2","自发光 2"
"_EmissionReplace2","替换基色"
"_EmissionColor2","自发光颜色"
"_EmissionMap2","自发光贴图"
"_EmissionMap2Pan","自发光贴图平移"
"_EmissionMap2UV","自发光贴图UV"
"_EmissionBaseColorAsMap2","基色作为贴图"
"_EmissionMask2","自发光遮罩"
"_EmissionMask2Pan","遮罩平移"
"_EmissionMask2UV","遮罩UV"
"_EmissionMask2Channel","遮罩通道"
"_EmissionMaskInvert2","反转遮罩"
"_EmissionMask2GlobalMask","全局遮罩"
"_EmissionMask2GlobalMaskBlendType","全局遮罩混合类型"
"_EmissionStrength2","自发光强度"
"_EmissionHueShiftEnabled2","<size=13><b>色相偏移</b></size>"
"_EmissionHueShift2","色相偏移"
"_EmissionHueShiftSpeed2","色相偏移速度"
"_EmissionCenterOutEnabled2","<size=13><b>中心向外发光</b></size>"
"_EmissionCenterOutSpeed2","中心向外发光速度"
"_EnableGITDEmission2","<size=13><b>基于光照</b></size>"
"_GITDEWorldOrMesh2","光照类型"
"_GITDEMinEmissionMultiplier2","最小自发光倍增"
"_GITDEMaxEmissionMultiplier2","最大自发光倍增"
"_GITDEMinLight2","最小光照"
"_GITDEMaxLight2","最大光照"
"_EmissionBlinkingEnabled2","<size=13><b>闪烁</b></size>"
"_EmissiveBlink_Min2","最小自发光闪烁"
"_EmissiveBlink_Max2","最大自发光闪烁"
"_EmissionBlinkingOffset2","闪烁偏移"
"_ScrollingEmission2","<size=13><b>滚动自发光</b></size>"
"_EmissionScrollingUseCurve2","使用曲线"
"_EmissionScrollingCurve2","滚动曲线"
"_EmissionScrollingVertexColor2","顶点颜色作为位置"
"_EmissiveScroll_Direction2","滚动方向"
"_EmissiveScroll_Width2","滚动宽度"
"_EmissiveScroll_Velocity2","滚动速度"
"_EmissiveScroll_Interval2","滚动间隔"
"_EmissionScrollingOffset2","滚动偏移"
"_EmissionAL2Enabled","<size=13><b>音频链接</b></size>"
"_EmissionAL2MultipliersBand","自发光倍增频带"
"_EmissionAL2Multipliers","自发光倍增"
"_EmissionAL2StrengthBand","自发光强度频带"
"_EmissionAL2StrengthMod","自发光强度调整"
"_AudioLinkEmission2CenterOutBand","中心向外频带"
"_AudioLinkEmission2CenterOut","中心向外"
"_AudioLinkEmission2CenterOutSize","中心向外强度"
"_AudioLinkEmission2CenterOutDuration","中心向外持续时间"
"m_start_emission3Options","自发光选项3"
"_EnableEmission3","自发光 3"
"_EmissionReplace3","替换基色"
"_EmissionColor3","自发光颜色"
"_EmissionMap3","自发光贴图"
"_EmissionMap3Pan","自发光贴图平移"
"_EmissionMap3UV","自发光贴图UV"
"_EmissionBaseColorAsMap3","基色作为贴图"
"_EmissionMask3","自发光遮罩"
"_EmissionMask3Pan","遮罩平移"
"_EmissionMask3UV","遮罩UV"
"_EmissionMask3Channel","遮罩通道"
"_EmissionMaskInvert3","反转遮罩"
"_EmissionMask3GlobalMask","全局遮罩"
"_EmissionMask3GlobalMaskBlendType","全局遮罩混合类型"
"_EmissionStrength3","自发光强度"
"_EmissionHueShiftEnabled3","<size=13><b>色相偏移</b></size>"
"_EmissionHueShift3","色相偏移"
"_EmissionHueShiftSpeed3","色相偏移速度"
"_EmissionCenterOutEnabled3","<size=13><b>中心向外发光</b></size>"
"_EmissionCenterOutSpeed3","中心向外发光速度"
"_EnableGITDEmission3","<size=13><b>基于光照</b></size>"
"_GITDEWorldOrMesh3","光照类型"
"_GITDEMinEmissionMultiplier3","最小自发光倍增"
"_GITDEMaxEmissionMultiplier3","最大自发光倍增"
"_GITDEMinLight3","最小光照"
"_GITDEMaxLight3","最大光照"
"_EmissionBlinkingEnabled3","<size=13><b>闪烁</b></size>"
"_EmissiveBlink_Min3","最小自发光闪烁"
"_EmissiveBlink_Max3","最大自发光闪烁"
"_EmissiveBlink_Velocity3","自发光闪烁速度"
"_EmissionBlinkingOffset3","闪烁偏移"
"_ScrollingEmission3","<size=13><b>滚动自发光</b></size>"
"_EmissionScrollingUseCurve3","使用曲线"
"_EmissionScrollingCurve3","滚动曲线"
"_EmissionScrollingVertexColor3","顶点颜色作为位置"
"_EmissiveScroll_Direction3","滚动方向"
"_EmissiveScroll_Width3","滚动宽度"
"_EmissiveScroll_Velocity3","滚动速度"
"_EmissiveScroll_Interval3","滚动间隔"
"_EmissionScrollingOffset3","滚动偏移"
"_EmissionAL3Enabled","<size=13><b>音频链接</b></size>"
"_EmissionAL3MultipliersBand","自发光倍增频带"
"_EmissionAL3Multipliers","自发光倍增"
"_EmissionAL3StrengthBand","自发光强度频带"
"_EmissionAL3StrengthMod","自发光强度调整"
"_AudioLinkEmission3CenterOutBand","中心向外频带"
"_AudioLinkEmission3CenterOut","中心向外"
"_AudioLinkEmission3CenterOutSize","中心向外强度"
"_AudioLinkEmission3CenterOutDuration","中心向外持续时间"
"m_start_glitter","闪光"
"_GlitterEnable","闪光"
"_GlitterUV","UV"
"_GlitterMode","模式"
"_GlitterShape","形状"
"_GlitterBlendType","混合模式"
"_GlitterUseNormals","使用法线"
"_GlitterColor","颜色"
"_GlitterUseSurfaceColor","使用表面颜色"
"_GlitterColorMap","闪光颜色贴图"
"_GlitterColorMapPan","颜色贴图平移"
"_GlitterColorMapUV","颜色贴图UV"
"_GlitterPan","平移"
"_GlitterMask","闪光遮罩"
"_GlitterMaskPan","遮罩平移"
"_GlitterMaskUV","遮罩UV"
"_GlitterMaskChannel","遮罩通道"
"_GlitterMaskGlobalMask","全局遮罩"
"_GlitterMaskGlobalMaskBlendType","全局遮罩混合类型"
"_GlitterTexture","闪光纹理"
"_GlitterTexturePan","纹理平移"
"_GlitterUVPanning","UV平移速度"
"_GlitterTextureRotation","纹理旋转速度"
"_GlitterFrequency","闪光密度"
"_GlitterJitter","闪光抖动"
"_GlitterSpeed","闪光速度"
"_GlitterSize","闪光尺寸"
"_GlitterContrast","闪光对比"
"_GlitterAngleRange","闪光角度范围"
"_GlitterMinBrightness","闪光最小亮度"
"_GlitterBrightness","闪光最大亮度"
"_GlitterBias","闪光偏移"
"_GlitterHideInShadow","隐藏在阴影中"
"_GlitterCenterSize","中心光暗"
"_glitterFrequencyLinearEmissive","线性发光频率"
"_GlitterJaggyFix","锯齿修复"
"_GlitterHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_GlitterHueShiftSpeed","色相偏移速度"
"_GlitterHueShift","色相偏移"
"m_start_GlitterRandomStuff","随机设置"
"_GlitterRandomColors","随机颜色"
"_GlitterMinMaxSaturation","饱和度范围"
"_GlitterMinMaxBrightness","亮度范围"
"_GlitterRandomSize","随机尺寸"
"_GlitterMinMaxSize","尺寸范围"
"_GlitterRandomRotation","随机纹理旋转"
"m_end_GlitterRandomStuff","随机设置结束"
"m_end_glitter","闪光/闪光"
"m_start_pathing","路径设置"
"_EnablePathing","路径"
"_PathGradientType","渐变类型"
"_PathingOverrideAlpha","覆盖Alpha"
"_PathingMap","RGBA路径贴图"
"_PathingMapUV","路径贴图UV"
"_PathingMapPan","路径贴图平移"
"_PathingColorMap","颜色和遮罩（展开）"
"_PathingColorMapUV","颜色遮罩UV"
"_PathingColorMapPan","颜色遮罩平移"
"_PathTypeR","R路径类型"
"_PathTypeG","G路径类型"
"_PathTypeB","B路径类型"
"_PathTypeA","路径类型"
"_PathColorR","R通道颜色"
"_PathColorG","G通道颜色"
"_PathColorB","B通道颜色"
"_PathColorA","A通道颜色"
"_PathEmissionStrength","自发光强度"
"_PathSoftness","柔软度"
"_PathSpeed","速度"
"_PathWidth","宽度"
"_PathTime","手动计时"
"_PathOffset","时序偏移"
"_PathSegments","路径段"
"m_start_PathAudioLink","音频链接 ♫"
"_PathALTimeOffset","<size=13><b>时间偏移</b></size>"
"_AudioLinkPathTimeOffsetBandR","R频带"
"_AudioLinkPathTimeOffsetR","时间偏移R"
"_AudioLinkPathTimeOffsetBandG","G频带"
"_AudioLinkPathTimeOffsetG","时间偏移G"
"_AudioLinkPathTimeOffsetBandB","B频带"
"_AudioLinkPathTimeOffsetB","时间偏移B"
